Team,Team_ID,Rank,Record,Auto,SP,Avg_Pts,Std_Dev,Trend,Trend_Delta,Skills,ML_Win_Prob,Category,Tier_Score,Synergy_Score,Partner_Score
35075B,133493,22,4-2-0,5.0,28.7,51.7,34.0,↓,-36.0,21,0.0,📊 SOLID,54.35,15,19.347826086956523
99928A,71572,35,2-4-0,5.83,23.8,34.1,31.4,↓,-18.0,0,0.014650095746109093,📊 SOLID,53.51,15,19.24278735238869
81580T,181186,25,4-2-0,4.17,23.0,47.1,33.7,↓,-9.3,0,0.00396374829001368,📊 SOLID,54.04,15,19.242528675155214
2621A,59059,23,4-2-0,5.0,20.3,46.9,28.1,↓,-43.3,0,0.0,📊 SOLID,54.17,15,19.166666666666668
1784Z,83923,49,2-4-0,1.67,15.0,32.8,21.5,↓,-9.0,33,0.02096996680801317,📊 SOLID,53.05,15,19.09699668080132
9228D,101799,30,3-3-0,5.83,22.7,41.4,39.0,↑,9.0,0,0.007740470719352287,⚡ PEAKING,78.61,15,18.999853523548133
99928D,89814,39,2-4-0,5.0,12.8,28.2,30.2,↑,40.3,0,0.012363472023045914,⚡ PEAKING,78.12,15,18.736347202304593
1784Y,93469,32,3-3-0,3.33,17.7,34.6,22.6,↓,-6.0,19,0.0,📊 SOLID,53.03,15,18.03030303030303
81580A,166704,33,3-3-0,1.67,17.0,27.7,28.8,↓,-30.3,0,0.0,📊 SOLID,52.94,15,17.941176470588236
24675C,169902,51,1-5-0,1.67,14.0,30.7,37.5,↓,-30.7,0,0.009421976344906524,📊 SOLID,52.39,15,17.865274557567574
8568S,88261,43,2-4-0,2.5,29.7,30.3,27.0,↓,-8.0,0,0.004257898603967671,📊 SOLID,52.49,15,17.69851713312404
1898Z,133948,57,1-5-0,1.67,8.7,32.2,22.2,↓,-5.7,22,0.008221646893981352,📊 SOLID,52.14,15,17.54630262043262
75575A,161884,41,2-4-0,3.33,12.8,30.8,35.8,↑,22.3,0,0.0,⚡ PEAKING,77.38,15,17.38095238095238
8568T,93759,46,2-4-0,2.5,15.8,26.2,21.4,→,-0.3,0,0.0,📊 SOLID,52.13,15,17.127659574468083
785B,63162,48,2-4-0,1.67,25.7,28.8,21.2,↓,-11.7,0,0.0,📊 SOLID,52.04,15,17.040816326530614
8568N,87389,50,1-4-1,5.0,23.8,39.2,33.8,↓,-43.0,0,0.0,📊 SOLID,51.96,15,16.96078431372549
25600Z,149365,52,1-5-0,5.0,35.8,39.7,32.9,↑,64.7,0,0.0,⚡ PEAKING,76.89,15,16.88679245283019
1898S,116651,53,1-5-0,4.17,20.8,30.2,26.5,↓,-9.0,0,0.0,📊 SOLID,51.85,15,16.85185185185185
26268A,161166,54,1-5-0,3.33,27.5,37.0,30.7,→,-1.3,0,0.0,📊 SOLID,51.82,15,16.818181818181817
785A,77715,56,1-5-0,2.5,29.7,30.3,22.7,→,3.3,0,0.0,📊 SOLID,51.75,15,16.75438596491228
99928C,89813,61,0-6-0,3.33,14.2,28.7,26.6,↓,-30.0,0,0.0,📊 SOLID,51.61,15,16.612903225806452
