Team,Team_ID,Rank,Record,Auto,SP,Avg_Pts,Std_Dev,Trend,Trend_Delta,Skills,Past_Wins,ML_Win_Prob,ML_Prediction,ML_Tier,Traditional_Cat,Composite_Score
4898A,18625,75,2-7-0,1.11,19.6,32.7,27.8,↓,-34.8,36,3,0.0,0,❌ ML AVOID,🚀 SLEEPER,31.32
99125Z,175245,16,6-3-0,7.78,17.4,65.5,31.1,↓,-15.0,0,0,0.24099317000774512,0,❌ ML AVOID,📊 SOLID,29.98
4478B,26089,59,2-7-0,4.44,26.2,43.3,34.3,→,-4.6,87,2,0.08011755423554398,0,❌ ML AVOID,🚀 SLEEPER,29.68
839Z,108761,12,6-3-0,5.56,24.1,59.5,36.6,↓,-13.4,66,1,0.11134797620172926,0,❌ ML AVOID,🚀 SLEEPER,28.83
78889X,145507,11,8-1-0,6.11,18.0,68.1,33.7,↑,29.0,36,1,0.08766719712530346,0,❌ ML AVOID,🚀 SLEEPER,27.1
62880D,170102,6,8-1-0,5.0,21.8,69.1,27.8,↑,13.8,40,0,0.10113646692146946,0,❌ ML AVOID,⚠️ FRAUD,24.4
344E,143554,42,3-6-0,5.56,27.4,28.9,16.2,↓,-17.0,53,2,0.008221646893981352,0,❌ ML AVOID,🚀 SLEEPER,23.15
8030A,57454,37,5-4-0,4.44,28.6,52.6,29.3,↑,13.5,0,2,0.0,0,❌ ML AVOID,🚀 SLEEPER,22.63
62880C,154078,20,7-2-0,5.56,27.6,53.5,17.0,↓,-16.4,71,1,0.050898541113400614,0,❌ ML AVOID,🚀 SLEEPER,19.85
1795X,185772,26,5-4-0,6.67,27.1,45.3,20.7,↓,-26.8,79,1,0.028064415165567173,0,❌ ML AVOID,🚀 SLEEPER,16.51
119X,170210,33,5-4-0,7.78,25.6,49.5,22.8,→,-2.7,45,1,0.01396374829001368,0,❌ ML AVOID,🚀 SLEEPER,14.34
97934H,140015,38,5-4-0,3.33,19.6,44.2,27.7,→,-3.2,23,1,0.004599206349206349,0,❌ ML AVOID,🚀 SLEEPER,13.02
77275C,127299,74,2-7-0,2.22,29.0,35.6,16.3,↓,-19.8,20,1,0.0,0,❌ ML AVOID,🚀 SLEEPER,11.33
2498Z,184649,27,5-4-0,5.56,18.0,49.9,30.1,↓,-7.2,34,0,0.04939825337503172,0,❌ ML AVOID,📊 SOLID,8.51
119W,143233,41,4-5-0,5.56,29.0,49.3,31.6,↓,-27.5,0,0,0.03192926045764098,0,❌ ML AVOID,📊 SOLID,5.57
5150F,54759,29,5-4-0,3.89,33.1,48.9,23.8,↓,-8.8,21,0,0.01461886131988648,0,❌ ML AVOID,📊 SOLID,4.8
25600Y,112643,24,5-4-0,8.89,32.2,56.4,33.4,↑,29.8,64,0,0.00396374829001368,0,❌ ML AVOID,⚡ PEAKING,4.4
5150K,117779,28,6-3-0,4.44,27.6,40.6,23.5,↓,-24.5,57,0,0.007965512167627302,0,❌ ML AVOID,📊 SOLID,4.24
35075K,186724,30,5-4-0,4.44,30.4,45.4,24.5,↓,-19.8,37,0,0.009858859698155394,0,❌ ML AVOID,📊 SOLID,4.21
92973B,176185,23,6-3-0,5.0,34.8,48.8,24.1,→,-4.0,42,0,0.0,0,❌ ML AVOID,📊 SOLID,4.17
33269B,172921,31,5-4-0,4.44,21.7,38.7,25.2,↑,37.2,0,0,0.008998953901914452,0,❌ ML AVOID,⚡ PEAKING,4.02
2616V,151666,32,5-4-0,3.89,26.8,47.8,22.7,↓,-12.0,40,0,0.0,0,❌ ML AVOID,📊 SOLID,3.03
2622T,175732,34,4-4-1,6.67,30.0,43.8,20.3,→,1.0,33,0,0.0,0,❌ ML AVOID,📊 SOLID,2.86
7405M,62637,36,4-5-0,5.0,24.0,36.9,31.1,↓,-26.2,53,0,0.0,0,❌ ML AVOID,📊 SOLID,2.7
169B,8551,44,4-4-1,4.44,33.6,46.8,24.9,↓,-41.2,0,0,0.00396374829001368,0,❌ ML AVOID,📊 SOLID,2.62
15797A,107334,47,4-5-0,3.33,21.9,45.3,27.9,↓,-7.0,68,0,0.00489339244247414,0,❌ ML AVOID,📊 SOLID,2.57
4478W,130675,39,3-5-1,6.67,21.0,46.4,26.5,↑,24.2,27,0,0.0,0,❌ ML AVOID,⚡ PEAKING,2.5
1165A,157126,49,4-4-1,1.11,20.2,28.3,19.2,↑,17.0,0,0,0.004599206349206349,0,❌ ML AVOID,⚡ PEAKING,2.46
5150H,69586,40,4-5-0,6.67,17.4,48.0,34.4,↓,-20.5,56,0,0.0,0,❌ ML AVOID,📊 SOLID,2.44
33269C,175544,51,4-5-0,4.44,31.0,47.7,22.7,↓,-31.5,28,0,0.004599206349206349,0,❌ ML AVOID,📊 SOLID,2.38
2142Z,138955,57,3-5-1,5.56,20.2,38.2,24.1,→,1.0,0,0,0.004599206349206349,0,❌ ML AVOID,📊 SOLID,2.18
12S,26668,45,4-5-0,4.44,17.6,38.4,28.7,→,2.2,32,0,0.0,0,❌ ML AVOID,📊 SOLID,2.17
46V,139683,46,4-5-0,3.33,22.7,37.3,24.3,↑,6.8,0,0,0.0,0,❌ ML AVOID,📊 SOLID,2.13
2498B,185178,50,4-5-0,5.56,27.9,42.4,27.3,↓,-38.0,46,0,0.0,0,❌ ML AVOID,📊 SOLID,1.96
35075B,133493,52,4-5-0,4.44,19.2,37.0,25.9,↑,12.8,28,0,0.0,0,❌ ML AVOID,⚡ PEAKING,1.89
78889S,154394,53,4-5-0,3.33,24.3,37.1,22.5,↓,-16.5,46,0,0.0,0,❌ ML AVOID,📊 SOLID,1.85
78889N,154399,67,3-6-0,2.22,26.9,31.0,12.7,↑,8.5,28,0,0.0037076135636596296,0,❌ ML AVOID,⚡ PEAKING,1.84
2142B,51034,54,4-5-0,2.78,16.7,36.2,31.5,↑,14.2,0,0,0.0,0,❌ ML AVOID,⚡ PEAKING,1.82
9909C,68314,55,4-5-0,1.11,24.4,36.9,20.6,↓,-12.5,27,0,0.0,0,❌ ML AVOID,📊 SOLID,1.79
78889W,145508,56,3-6-0,6.67,28.2,48.0,26.6,↓,-26.8,20,0,0.0,0,❌ ML AVOID,📊 SOLID,1.75
2502S,170211,58,2-6-1,5.0,22.9,35.6,28.7,↓,-9.8,17,0,0.0,0,❌ ML AVOID,📊 SOLID,1.69
7405N,70411,60,3-6-0,3.89,23.3,41.7,23.0,↑,12.8,43,0,0.0,0,❌ ML AVOID,⚡ PEAKING,1.64
2616N,67868,79,1-8-0,2.22,12.9,19.4,15.9,↑,8.8,16,0,0.0037076135636596296,0,❌ ML AVOID,⚡ PEAKING,1.62
35075A,130515,61,3-6-0,2.22,27.3,42.0,27.6,↑,6.2,61,0,0.0,0,❌ ML AVOID,📊 SOLID,1.61
3773Y,94609,62,2-7-0,5.56,23.6,30.2,19.9,→,-2.5,16,0,0.0,0,❌ ML AVOID,📊 SOLID,1.59
58566A,83006,63,3-6-0,5.0,23.8,29.2,15.4,↓,-7.2,5,0,0.0,0,❌ ML AVOID,📊 SOLID,1.56
12A,4086,64,3-6-0,4.44,25.8,42.6,25.5,↑,12.8,0,0,0.0,0,❌ ML AVOID,⚡ PEAKING,1.54
119P,180035,66,3-6-0,4.44,19.4,36.4,27.1,↑,43.8,46,0,0.0,0,❌ ML AVOID,⚡ PEAKING,1.49
12Z,26689,68,3-6-0,2.22,20.8,33.3,23.5,↑,23.5,22,0,0.0,0,❌ ML AVOID,⚡ PEAKING,1.45
5156G,93904,69,2-6-1,2.22,16.7,33.8,19.5,↓,-21.8,11,0,0.0,0,❌ ML AVOID,📊 SOLID,1.43
3773C,162918,70,2-7-0,4.44,21.6,31.3,24.4,↑,20.2,54,0,0.0,0,❌ ML AVOID,⚡ PEAKING,1.41
4478H,142617,71,2-7-0,4.44,19.9,29.2,24.6,↑,29.0,15,0,0.0,0,❌ ML AVOID,⚡ PEAKING,1.39
2142X,161338,72,2-7-0,3.33,30.9,37.1,18.2,↑,7.0,0,0,0.0,0,❌ ML AVOID,📊 SOLID,1.37
2142R,171247,73,2-7-0,2.78,14.8,20.4,19.3,↓,-20.5,0,0,0.0,0,❌ ML AVOID,📊 SOLID,1.35
9039F,125705,76,1-8-0,2.22,32.1,34.0,21.5,→,-3.2,0,0,0.0,0,❌ ML AVOID,📊 SOLID,1.3
5156B,62947,77,1-8-0,2.22,18.0,28.9,29.2,↑,26.5,5,0,0.0,0,❌ ML AVOID,⚡ PEAKING,1.28
58566B,112642,78,1-8-0,2.22,23.6,26.3,13.9,↑,11.0,19,0,0.0,0,❌ ML AVOID,⚡ PEAKING,1.27
77275A,113516,80,0-9-0,2.22,17.9,17.9,7.7,→,0.2,19,0,0.0,0,❌ ML AVOID,📊 SOLID,1.23
